Size, Type, Time
1000, "Sequential", 0.000383
1000, "Parallel", 0.140358
1000, "Built-in", 0.000257
1000, "Sequential", 0.000164
1000, "Parallel", 0.108913
1000, "Built-in", 0.000257
1000, "Sequential", 0.000160
1000, "Parallel", 0.125739
1000, "Built-in", 0.000254
1000, "Sequential", 0.000165
1000, "Parallel", 0.169856
1000, "Built-in", 0.000249
1000, "Sequential", 0.000165
1000, "Parallel", 0.123805
1000, "Built-in", 0.000254
1000, "Sequential", 0.000164
1000, "Parallel", 0.140931
1000, "Built-in", 0.000253
1000, "Sequential", 0.000163
1000, "Parallel", 0.163448
1000, "Built-in", 0.000261
1000, "Sequential", 0.000162
1000, "Parallel", 0.140088
1000, "Built-in", 0.000256
1000, "Sequential", 0.000165
1000, "Parallel", 0.142772
1000, "Built-in", 0.000265
1000, "Sequential", 0.000162
1000, "Parallel", 0.233824
1000, "Built-in", 0.000258
2500000, "Sequential", 0.772135
2500000, "Parallel", 0.689752
2500000, "Built-in", 0.740733
2500000, "Sequential", 0.752708
2500000, "Parallel", 0.655276
2500000, "Built-in", 0.742350
2500000, "Sequential", 0.733940
2500000, "Parallel", 0.632973
2500000, "Built-in", 0.756119
2500000, "Sequential", 0.746947
2500000, "Parallel", 0.645474
2500000, "Built-in", 0.758070
2500000, "Sequential", 0.785585
2500000, "Parallel", 0.717309
2500000, "Built-in", 0.741953
2500000, "Sequential", 0.772610
2500000, "Parallel", 0.660866
2500000, "Built-in", 0.744415
2500000, "Sequential", 0.737255
2500000, "Parallel", 0.647492
2500000, "Built-in", 0.746427
2500000, "Sequential", 0.768131
2500000, "Parallel", 0.689977
2500000, "Built-in", 0.740652
2500000, "Sequential", 0.773537
2500000, "Parallel", 0.687943
2500000, "Built-in", 0.738279
2500000, "Sequential", 0.747780
2500000, "Parallel", 0.653820
2500000, "Built-in", 0.741573
10000, "Sequential", 0.006176
10000, "Parallel", 0.267992
10000, "Built-in", 0.002128
10000, "Sequential", 0.002134
10000, "Parallel", 0.271139
10000, "Built-in", 0.002159
10000, "Sequential", 0.002122
10000, "Parallel", 0.309405
10000, "Built-in", 0.002122
10000, "Sequential", 0.002104
10000, "Parallel", 0.280942
10000, "Built-in", 0.002098
10000, "Sequential", 0.002137
10000, "Parallel", 0.296668
10000, "Built-in", 0.002098
10000, "Sequential", 0.002181
10000, "Parallel", 0.240295
10000, "Built-in", 0.002120
10000, "Sequential", 0.002132
10000, "Parallel", 0.264786
10000, "Built-in", 0.002106
10000, "Sequential", 0.002163
10000, "Parallel", 0.253227
10000, "Built-in", 0.002084
10000, "Sequential", 0.002015
10000, "Parallel", 0.254386
10000, "Built-in", 0.002089
10000, "Sequential", 0.002075
10000, "Parallel", 0.233504
10000, "Built-in", 0.002130
100, "Sequential", 0.000013
100, "Parallel", 0.032520
100, "Built-in", 0.000016
100, "Sequential", 0.000012
100, "Parallel", 0.035230
100, "Built-in", 0.000015
100, "Sequential", 0.000015
100, "Parallel", 0.041262
100, "Built-in", 0.000016
100, "Sequential", 0.000014
100, "Parallel", 0.042114
100, "Built-in", 0.000016
100, "Sequential", 0.000013
100, "Parallel", 0.045766
100, "Built-in", 0.000016
100, "Sequential", 0.000013
100, "Parallel", 0.033467
100, "Built-in", 0.000016
100, "Sequential", 0.000012
100, "Parallel", 0.043142
100, "Built-in", 0.000015
100, "Sequential", 0.000013
100, "Parallel", 0.039526
100, "Built-in", 0.000016
100, "Sequential", 0.000012
100, "Parallel", 0.034691
100, "Built-in", 0.000016
100, "Sequential", 0.000015
100, "Parallel", 0.027739
100, "Built-in", 0.000016
5000, "Sequential", 0.001039
5000, "Parallel", 0.180563
5000, "Built-in", 0.001033
5000, "Sequential", 0.001011
5000, "Parallel", 0.216093
5000, "Built-in", 0.001039
5000, "Sequential", 0.000977
5000, "Parallel", 0.225808
5000, "Built-in", 0.001036
5000, "Sequential", 0.000987
5000, "Parallel", 0.209534
5000, "Built-in", 0.001032
5000, "Sequential", 0.000989
5000, "Parallel", 0.259550
5000, "Built-in", 0.001038
5000, "Sequential", 0.000948
5000, "Parallel", 0.246468
5000, "Built-in", 0.001034
5000, "Sequential", 0.000963
5000, "Parallel", 0.235105
5000, "Built-in", 0.001075
5000, "Sequential", 0.000959
5000, "Parallel", 0.241363
5000, "Built-in", 0.001037
5000, "Sequential", 0.000947
5000, "Parallel", 0.232530
5000, "Built-in", 0.001080
5000, "Sequential", 0.000975
5000, "Parallel", 0.211997
5000, "Built-in", 0.001045
1000000, "Sequential", 0.281419
1000000, "Parallel", 0.376702
1000000, "Built-in", 0.276778
1000000, "Sequential", 0.289398
1000000, "Parallel", 0.435026
1000000, "Built-in", 0.276475
1000000, "Sequential", 0.323040
1000000, "Parallel", 0.404829
1000000, "Built-in", 0.283659
1000000, "Sequential", 0.280450
1000000, "Parallel", 0.428910
1000000, "Built-in", 0.277396
1000000, "Sequential", 0.316052
1000000, "Parallel", 0.443067
1000000, "Built-in", 0.281066
1000000, "Sequential", 0.283901
1000000, "Parallel", 0.394776
1000000, "Built-in", 0.276301
1000000, "Sequential", 0.291585
1000000, "Parallel", 0.372508
1000000, "Built-in", 0.281508
1000000, "Sequential", 0.314216
1000000, "Parallel", 0.403165
1000000, "Built-in", 0.275949
1000000, "Sequential", 0.292859
1000000, "Parallel", 0.395032
1000000, "Built-in", 0.278491
1000000, "Sequential", 0.293396
1000000, "Parallel", 0.438796
1000000, "Built-in", 0.280111
800, "Sequential", 0.000409
800, "Parallel", 0.142770
800, "Built-in", 0.000239
800, "Sequential", 0.000138
800, "Parallel", 0.132747
800, "Built-in", 0.000241
800, "Sequential", 0.000136
800, "Parallel", 0.134416
800, "Built-in", 0.000239
800, "Sequential", 0.000136
800, "Parallel", 0.165888
800, "Built-in", 0.000234
800, "Sequential", 0.000126
800, "Parallel", 0.163729
800, "Built-in", 0.000235
800, "Sequential", 0.000129
800, "Parallel", 0.160334
800, "Built-in", 0.000235
800, "Sequential", 0.000128
800, "Parallel", 0.178781
800, "Built-in", 0.000238
800, "Sequential", 0.000129
800, "Parallel", 0.132148
800, "Built-in", 0.000236
800, "Sequential", 0.000126
800, "Parallel", 0.148239
800, "Built-in", 0.000236
800, "Sequential", 0.000132
800, "Parallel", 0.131357
800, "Built-in", 0.000253
100000, "Sequential", 0.026903
100000, "Parallel", 0.318465
100000, "Built-in", 0.023246
100000, "Sequential", 0.024068
100000, "Parallel", 0.254766
100000, "Built-in", 0.024788
100000, "Sequential", 0.027356
100000, "Parallel", 0.275032
100000, "Built-in", 0.023910
100000, "Sequential", 0.023894
100000, "Parallel", 0.275729
100000, "Built-in", 0.024716
100000, "Sequential", 0.025009
100000, "Parallel", 0.228586
100000, "Built-in", 0.024942
100000, "Sequential", 0.024585
100000, "Parallel", 0.263131
100000, "Built-in", 0.023767
100000, "Sequential", 0.031434
100000, "Parallel", 0.268847
100000, "Built-in", 0.024403
100000, "Sequential", 0.048401
100000, "Parallel", 0.280065
100000, "Built-in", 0.024837
100000, "Sequential", 0.023938
100000, "Parallel", 0.275084
100000, "Built-in", 0.024751
100000, "Sequential", 0.024077
100000, "Parallel", 0.285598
100000, "Built-in", 0.023908
430, "Sequential", 0.000065
430, "Parallel", 0.107735
430, "Built-in", 0.000176
430, "Sequential", 0.000065
430, "Parallel", 0.087764
430, "Built-in", 0.000174
430, "Sequential", 0.000082
430, "Parallel", 0.102172
430, "Built-in", 0.000176
430, "Sequential", 0.000064
430, "Parallel", 0.125809
430, "Built-in", 0.000176
430, "Sequential", 0.000069
430, "Parallel", 0.101691
430, "Built-in", 0.000174
430, "Sequential", 0.000066
430, "Parallel", 0.086034
430, "Built-in", 0.000171
430, "Sequential", 0.000070
430, "Parallel", 0.103768
430, "Built-in", 0.000176
430, "Sequential", 0.000064
430, "Parallel", 0.106419
430, "Built-in", 0.000175
430, "Sequential", 0.000068
430, "Parallel", 0.064150
430, "Built-in", 0.000174
430, "Sequential", 0.000064
430, "Parallel", 0.080302
430, "Built-in", 0.000176
5000000, "Sequential", 1.579582
5000000, "Parallel", 1.034065
5000000, "Built-in", 1.554531
5000000, "Sequential", 1.589476
5000000, "Parallel", 1.204000
5000000, "Built-in", 1.562232
5000000, "Sequential", 1.570746
5000000, "Parallel", 1.214446
5000000, "Built-in", 1.551891
5000000, "Sequential", 1.564463
5000000, "Parallel", 1.150797
5000000, "Built-in", 1.568748
5000000, "Sequential", 1.545336
5000000, "Parallel", 1.096208
5000000, "Built-in", 1.553105
5000000, "Sequential", 1.557694
5000000, "Parallel", 1.118637
5000000, "Built-in", 1.565502
5000000, "Sequential", 1.608447
5000000, "Parallel", 1.219161
5000000, "Built-in", 1.559449
5000000, "Sequential", 1.600073
5000000, "Parallel", 1.259521
5000000, "Built-in", 1.568219
5000000, "Sequential", 1.561991
5000000, "Parallel", 1.219612
5000000, "Built-in", 1.554616
5000000, "Sequential", 1.550332
5000000, "Parallel", 1.146965
5000000, "Built-in", 1.565491
4000, "Sequential", 0.000681
4000, "Parallel", 0.163348
4000, "Built-in", 0.000841
4000, "Sequential", 0.000738
4000, "Parallel", 0.186545
4000, "Built-in", 0.000837
4000, "Sequential", 0.000751
4000, "Parallel", 0.180541
4000, "Built-in", 0.000845
4000, "Sequential", 0.000738
4000, "Parallel", 0.199186
4000, "Built-in", 0.000844
4000, "Sequential", 0.000744
4000, "Parallel", 0.197208
4000, "Built-in", 0.000851
4000, "Sequential", 0.000803
4000, "Parallel", 0.173551
4000, "Built-in", 0.000856
4000, "Sequential", 0.000752
4000, "Parallel", 0.181786
4000, "Built-in", 0.000842
4000, "Sequential", 0.000761
4000, "Parallel", 0.178654
4000, "Built-in", 0.000884
4000, "Sequential", 0.000763
4000, "Parallel", 0.199228
4000, "Built-in", 0.000856
4000, "Sequential", 0.000756
4000, "Parallel", 0.207897
4000, "Built-in", 0.000873
