Size, Compilation, Type, Time
1000, "-O1", "Sequential", 0.000155
1000, "-O1", "Parallel", 0.132109
1000, "-O1", "Built-in", 0.000271
1000, "-O2", "Sequential", 0.000182
1000, "-O2", "Parallel", 0.110185
1000, "-O2", "Built-in", 0.000287
1000, "-O3", "Sequential", 0.000167
1000, "-O3", "Parallel", 0.144911
1000, "-O3", "Built-in", 0.000277
1000, "-O1", "Sequential", 0.000163
1000, "-O1", "Parallel", 0.106504
1000, "-O1", "Built-in", 0.000285
1000, "-O2", "Sequential", 0.000189
1000, "-O2", "Parallel", 0.141570
1000, "-O2", "Built-in", 0.000274
1000, "-O3", "Sequential", 0.000150
1000, "-O3", "Parallel", 0.125654
1000, "-O3", "Built-in", 0.000276
1000, "-O1", "Sequential", 0.000176
1000, "-O1", "Parallel", 0.120923
1000, "-O1", "Built-in", 0.000280
1000, "-O2", "Sequential", 0.000170
1000, "-O2", "Parallel", 0.122321
1000, "-O2", "Built-in", 0.000281
1000, "-O3", "Sequential", 0.000152
1000, "-O3", "Parallel", 0.093039
1000, "-O3", "Built-in", 0.000283
1000, "-O1", "Sequential", 0.000176
1000, "-O1", "Parallel", 0.099838
1000, "-O1", "Built-in", 0.000287
1000, "-O2", "Sequential", 0.000170
1000, "-O2", "Parallel", 0.118420
1000, "-O2", "Built-in", 0.000280
1000, "-O3", "Sequential", 0.000159
1000, "-O3", "Parallel", 0.098852
1000, "-O3", "Built-in", 0.000286
1000, "-O1", "Sequential", 0.000169
1000, "-O1", "Parallel", 0.106860
1000, "-O1", "Built-in", 0.000287
1000, "-O2", "Sequential", 0.000158
1000, "-O2", "Parallel", 0.111559
1000, "-O2", "Built-in", 0.000296
1000, "-O3", "Sequential", 0.000168
1000, "-O3", "Parallel", 0.121368
1000, "-O3", "Built-in", 0.000297
1000, "-O1", "Sequential", 0.000166
1000, "-O1", "Parallel", 0.116180
1000, "-O1", "Built-in", 0.000341
1000, "-O2", "Sequential", 0.000215
1000, "-O2", "Parallel", 0.179179
1000, "-O2", "Built-in", 0.000293
1000, "-O3", "Sequential", 0.000179
1000, "-O3", "Parallel", 0.124217
1000, "-O3", "Built-in", 0.000287
1000, "-O1", "Sequential", 0.000153
1000, "-O1", "Parallel", 0.153462
1000, "-O1", "Built-in", 0.000290
1000, "-O2", "Sequential", 0.000165
1000, "-O2", "Parallel", 0.145700
1000, "-O2", "Built-in", 0.000294
1000, "-O3", "Sequential", 0.000174
1000, "-O3", "Parallel", 0.128690
1000, "-O3", "Built-in", 0.000293
1000, "-O1", "Sequential", 0.000224
1000, "-O1", "Parallel", 0.133820
1000, "-O1", "Built-in", 0.000306
1000, "-O2", "Sequential", 0.000150
1000, "-O2", "Parallel", 0.124088
1000, "-O2", "Built-in", 0.000305
1000, "-O3", "Sequential", 0.000154
1000, "-O3", "Parallel", 0.140308
1000, "-O3", "Built-in", 0.000297
1000, "-O1", "Sequential", 0.000187
1000, "-O1", "Parallel", 0.122018
1000, "-O1", "Built-in", 0.000298
1000, "-O2", "Sequential", 0.000152
1000, "-O2", "Parallel", 0.116155
1000, "-O2", "Built-in", 0.000314
1000, "-O3", "Sequential", 0.000163
1000, "-O3", "Parallel", 0.142692
1000, "-O3", "Built-in", 0.000326
1000, "-O1", "Sequential", 0.000153
1000, "-O1", "Parallel", 0.076597
1000, "-O1", "Built-in", 0.000304
1000, "-O2", "Sequential", 0.000168
1000, "-O2", "Parallel", 0.109600
1000, "-O2", "Built-in", 0.000319
