Size, Thread_level, Type, Time
1000, 4, "Parallel", 0.005228
1000, 4, "Parallel", 0.007665
1000, 4, "Parallel", 0.006189
1000, 4, "Parallel", 0.004442
1000, 4, "Parallel", 0.004836
1000, 4, "Parallel", 0.004472
1000, 4, "Parallel", 0.005204
1000, 4, "Parallel", 0.004765
1000, 4, "Parallel", 0.006309
1000, 4, "Parallel", 0.005554
1000, 8, "Parallel", 0.035283
1000, 8, "Parallel", 0.040181
1000, 8, "Parallel", 0.033428
1000, 8, "Parallel", 0.042717
1000, 8, "Parallel", 0.042104
1000, 8, "Parallel", 0.032038
1000, 8, "Parallel", 0.034670
1000, 8, "Parallel", 0.045748
1000, 8, "Parallel", 0.039215
1000, 8, "Parallel", 0.040226
1000, 10, "Parallel", 0.088348
1000, 10, "Parallel", 0.090006
1000, 10, "Parallel", 0.111261
1000, 10, "Parallel", 0.089248
1000, 10, "Parallel", 0.091759
1000, 10, "Parallel", 0.082717
1000, 10, "Parallel", 0.137789
1000, 10, "Parallel", 0.122419
1000, 10, "Parallel", 0.087841
1000, 10, "Parallel", 0.080517
1000, 12, "Parallel", 0.134728
1000, 12, "Parallel", 0.193063
1000, 12, "Parallel", 0.202912
1000, 12, "Parallel", 0.171906
1000, 12, "Parallel", 0.163326
1000, 12, "Parallel", 0.187371
1000, 12, "Parallel", 0.105890
1000, 12, "Parallel", 0.158616
1000, 12, "Parallel", 0.109040
1000, 12, "Parallel", 0.113633
1000, 14, "Parallel", 0.178946
1000, 14, "Parallel", 0.212676
1000, 14, "Parallel", 0.197946
1000, 14, "Parallel", 0.176344
1000, 14, "Parallel", 0.170856
1000, 14, "Parallel", 0.196500
1000, 14, "Parallel", 0.172654
1000, 14, "Parallel", 0.196895
1000, 14, "Parallel", 0.128482
1000, 14, "Parallel", 0.150953
1000, 16, "Parallel", 0.172427
1000, 16, "Parallel", 0.220667
1000, 16, "Parallel", 0.197485
1000, 16, "Parallel", 0.162225
1000, 16, "Parallel", 0.214805
1000, 16, "Parallel", 0.207097
1000, 16, "Parallel", 0.226029
1000, 16, "Parallel", 0.194873
1000, 16, "Parallel", 0.222708
1000, 16, "Parallel", 0.190183
2500000, 4, "Parallel", 0.509360
2500000, 4, "Parallel", 0.544596
2500000, 4, "Parallel", 0.523736
2500000, 4, "Parallel", 0.611378
2500000, 4, "Parallel", 0.607718
2500000, 4, "Parallel", 0.584972
2500000, 4, "Parallel", 0.553737
2500000, 4, "Parallel", 0.553905
2500000, 4, "Parallel", 0.478067
2500000, 4, "Parallel", 0.491496
2500000, 8, "Parallel", 0.502857
2500000, 8, "Parallel", 0.510893
2500000, 8, "Parallel", 0.527026
2500000, 8, "Parallel", 0.533364
2500000, 8, "Parallel", 0.560936
2500000, 8, "Parallel", 0.559436
2500000, 8, "Parallel", 0.526713
2500000, 8, "Parallel", 0.565766
2500000, 8, "Parallel", 0.553722
2500000, 8, "Parallel", 0.572754
2500000, 10, "Parallel", 0.642628
